id,cost,LB,f_hat,num_coll,cost-to-go,h_hat,parent
132778315731776,3261,3308,3275.3255811704707,56,93,14.325581170470528,132778315428288
132778315946880,3261,3308,3274.4999997913637,54,93,13.499999791363642,132778315731776
132778316355008,3261,3307,3273.955555358343,53,93,12.955555358343211,132778315946880
132778314419328,3261,3309,3273.329670142693,51,93,12.329670142692912,132778316355008
132778314484288,3262,3311,3273.827956812464,50,92,11.827956812463869,132778314419328
132778314676672,3264,3311,3275.989361523563,49,90,11.989361523562698,132778314484288
132778314881408,3264,3311,3275.7446806748935,48,90,11.744680674893619,132778314676672
132778315224512,3264,3312,3275.6210524578746,48,90,11.621052457874796,132778314881408
132778313307008,3264,3314,3275.6210524566513,48,90,11.621052456651526,132778315224512
132778313405248,3264,3314,3275.3789471959403,47,90,11.37894719594017,132778313307008
132778313720640,3271,3318,3282.0208331668728,46,83,11.020833166872832,132778313405248
132778317516544,3275,3321,3286.499999825104,46,79,11.499999825104169,132778313720640
132778312230976,3275,3326,3286.9680849179495,45,79,11.9680849179493,132778317516544
132778313964992,3275,3326,3286.8421050774236,45,79,11.84210507742382,132778312230976
132778314092992,3278,3328,3289.5789471855956,44,76,11.578947185595569,132778313964992
132778316537216,3278,3328,3289.578947184377,44,76,11.578947184376728,132778314092992
132778312963392,3278,3329,3289.3157892926315,43,76,11.315789292631578,132778316537216
132778312390336,3280,3329,3290.9374998256835,42,74,10.937499825683592,132778312963392
132778313153920,3280,3332,3290.9374998245444,42,74,10.937499824544268,132778312390336
132778311265664,3280,3338,3290.677083160943,41,74,10.677083160942924,132778313153920
132778311565440,3292,3342,3302.3092781847167,40,62,10.309278184716762,132778311265664
132778311692032,3295,3342,3305.453608078225,39,59,10.453608078225102,132778311565440
132778311921088,3295,3342,3305.1855668444,38,59,10.185566844400043,132778311692032
132778311392448,3296,3342,3305.5510202532028,36,58,9.551020253202832,132778311921088
132778310656064,3295,3341,3303.929292784981,34,59,8.929292784981126,132778311392448
132778310473088,3303,3348,3311.415841450005,34,51,8.415841450004903,132778310656064
132778309283904,3303,3348,3311.24999986635,33,51,8.24999986635,132778310473088
132778309428928,3303,3348,3311.1683166998578,33,51,8.16831669985786,132778309283904
132778311819968,3303,3354,3310.673267202137,31,51,7.6732672021370485,132778309428928
132778309755712,3302,3360,3309.524271724126,31,52,7.524271724125743,132778311819968
132778310922688,3302,3359,3308.990291149477,30,52,6.99029114947686,132778309755712
132778309519680,3301,3364,3307.6923075848445,29,53,6.692307584844675,132778310922688
132778309902976,3301,3361,3307.1333332352,28,53,6.133333235200002,132778309519680
132778309087424,3301,3363,3306.8584904726335,27,53,5.858490472633502,132778309902976
132778309996736,3301,3363,3306.5887849579353,26,53,5.588784957935193,132778309087424
132778308194944,3301,3356,3306.537036949367,26,53,5.537036949367286,132778309996736
132778310348864,3301,3361,3306.5370369488546,26,53,5.537036948854597,132778308194944
132778308997952,3301,3361,3306.32407398879,25,53,5.324073988790296,132778310348864
132778308921472,3301,3366,3306.0642201026444,24,53,5.064220102644561,132778308997952
132778307297792,3301,3362,3306.0181817383473,24,53,5.01818173834711,132778308921472
132778307086144,3302,3362,3307.0181817378907,24,52,5.018181737890912,132778307297792
132778307267968,3302,3362,3307.0181817374346,23,52,5.018181737434713,132778307086144
132778307615936,3302,3364,3306.972972893226,23,52,4.972972893226201,132778307267968
132778307779904,3302,3366,3306.7567566800485,22,52,4.756756680048699,132778307615936
132778307842304,3302,3366,3306.499999927679,21,52,4.499999927678573,132778307779904
132778306196032,3302,3366,3306.2477875425798,20,52,4.247787542579687,132778307842304
132778306848512,3306,3366,3309.9999999361403,19,48,3.9999999361403527,132778306196032
132778307936832,3306,3366,3309.5789473109694,17,48,3.5789473109695304,132778306848512
132778307642560,3310,3366,3313.5172413235196,17,44,3.517241323519621,132778307936832
132778305111808,3310,3369,3313.3391303804856,16,44,3.3391303804854466,132778307642560
132778305431808,3310,3372,3313.4482758055888,16,44,3.4482758055885876,132778305111808
132778303916736,3311,3371,3314.4482758052914,16,43,3.4482758052913227,132778305431808
132778304340032,3311,3373,3314.5862068368847,16,43,3.586206836884663,132778303916736
132778304381952,3311,3371,3314.3620689092895,15,43,3.362068909289538,132778304340032
132778302816448,3315,3373,3318.111111059259,14,39,3.1111110592592612,132778304381952
132778304540608,3322,3378,3324.6666666219944,12,32,2.6666666219943043,132778302816448
132778302950400,3345,3397,3347.4237287730953,11,9,2.4237287730953767,132778304540608
132778303220480,3345,3397,3347.203389793536,10,9,2.203389793536341,132778302950400
132778301858304,3345,3397,3346.878260837063,9,9,1.878260837063139,132778303220480
132778303597952,3345,3414,3347.0689654815696,10,9,2.068965481569561,132778301858304
132778302566976,3345,3416,3346.6216215922573,9,9,1.6216215922571227,132778303597952
132778304179968,3345,3416,3346.607142828157,9,9,1.6071428281568885,132778302566976
132778302531264,3345,3414,3346.4285714026787,8,9,1.4285714026785723,132778304179968
132778303416704,3345,3414,3346.415929177978,8,9,1.4159291779779162,132778302531264
132778302527936,3354,3423,3355.238938030621,7,0,1.2389380306210358,132778303416704
132778302197120,3354,3423,3355.0619468832956,6,0,1.061946883295482,132778302527936
132778301024192,3354,3417,3354.877192966528,5,0,0.877192966528163,132778302197120
132778301533440,3354,3417,3354.6956521613306,4,0,0.6956521613308132,132778301024192
132778300720704,3354,3417,3354.517241369991,3,0,0.5172413699910823,132778301533440
132778302095488,3354,3417,3354.341880335744,2,0,0.34188033574402826,132778300720704
132778300470016,3354,3417,3354.169491522393,1,0,0.16949152239299062,132778302095488
132778302573888,3354,3417,3354.0,0,0,0.0,132778300470016
139002928388544,3136,3088,3136,203,463,0,
139002928856320,3136,3113,3136,203,463,0,139002928388544
139002924310336,3136,3088,3136.0,202,463,0.0,139002928856320
139002925942720,3136,3099,3136.0,202,463,0.0,139002924310336
139002925541504,3136,3100,3136.0,202,463,0.0,139002925942720
139002924878016,3138,3088,3138.0,199,461,0.0,139002925541504
139002926837952,3138,3088,3138.0,198,461,0.0,139002924878016
139002926858304,3138,3114,3138.0,198,461,0.0,139002926837952
139002922937024,3138,3114,3138.0,197,461,0.0,139002926858304
139002926743168,3138,3114,3138.0,196,461,0.0,139002922937024
139002925360000,3138,3124,3138.0,194,461,0.0,139002926743168
139002923119360,3138,3131,3138.0,193,461,0.0,139002925360000
139002922994816,3138,3131,3138.0,192,461,0.0,139002923119360
139002926449024,3152,3145,3152.0,191,447,0.0,139002922994816
139002925495040,3159,3145,3159.0,190,440,0.0,139002926449024
139002925285568,3188,3169,3188.0,188,411,0.0,139002925495040
139002923089280,3188,3169,3188.0,187,411,0.0,139002925285568
139002921750976,3188,3169,3188.0,186,411,0.0,139002923089280
139002921643968,3188,3169,3188.0,185,411,0.0,139002921750976
139002922742208,3192,3176,3192.0,182,407,0.0,139002921643968
139002923426496,3192,3176,3207.16666640125,182,407,15.166666401250003,139002922742208
139002924056128,3210,3190,3224.999999725,180,389,14.999999725000006,139002923426496
139002923483008,3212,3191,3225.7692305256214,179,387,13.769230525621303,139002924056128
139002924162048,3212,3191,3239.384614879053,178,387,27.384614879053256,139002923483008
139002923697344,3216,3191,3241.2857138341838,177,383,25.285713834183678,139002924162048
139002924224256,3216,3191,3241.142856675918,176,383,25.142856675918377,139002923697344
139002922461888,3216,3192,3239.1999995824,174,383,23.199999582400004,139002924224256
139002922286400,3216,3195,3236.3529408412455,173,383,20.352940841245676,139002922461888
139002921705536,3216,3195,3235.222221912531,173,383,19.222221912530866,139002922286400
139002922118400,3216,3195,3235.1111107925926,172,383,19.111110792592598,139002921705536
139002923474944,3216,3199,3233.999999706316,171,383,17.999999706315794,139002922118400
139002922125056,3216,3199,3232.999999728,170,383,16.999999728000002,139002923474944
139002920574912,3216,3206,3232.095237842313,169,383,16.09523784231293,139002922125056
139002920771456,3216,3208,3231.090908857686,166,383,15.090908857685955,139002920574912
139002921201984,3216,3227,3229.1999998152,165,383,13.199999815200002,139002920771456
139002918444800,3225,3228,3237.61538444071,164,374,12.615384440710061,139002921201984
139002928805120,3225,3232,3238.039999807008,163,374,13.039999807008003,139002918444800
139002920264000,3242,3246,3254.3076921278107,160,357,12.307692127810652,139002928805120
139002919606848,3256,3257,3267.8518516806585,160,343,11.851851680658438,139002920264000
139002920407936,3257,3258,3269.2307690426037,159,342,12.230769042603551,139002919606848
139002919755264,3265,3266,3277.559999794016,157,334,12.559999794016003,139002920407936
139002919183424,3265,3266,3276.999999806154,156,334,11.999999806153847,139002919755264
139002917511232,3265,3266,3276.4814812986283,155,334,11.48148129862826,139002919183424
139002918131264,3275,3272,3285.999999827143,154,324,10.999999827142858,139002917511232
139002919105472,3275,3272,3285.9285712529336,153,324,10.928571252933674,139002918131264
139002919096704,3275,3277,3285.4827584544114,152,324,10.482758454411416,139002919105472
139002918334784,3275,3286,3285.0666665089557,151,324,10.066666508955556,139002919096704
